"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https/","","","","","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","www.marcin-zygan.com/","","","","1","https://www.marcin-zygan.com/","text/plain","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","40","0","0.000","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.286","","https://marcin-zygan.com/","HTTP Redirect","","1.1","https://www.marcin-zygan.com/","2021-11-17 19:20:36"
"","marcin-zygan.com/","","","","60","https://marcin-zygan.com/","text/html; charset=UTF-8","200","OK","Indexable","","Marcin Zygan Design","19","185","Lets make ideas Visible. Logo and Web Design.","45","301","Poster , Logo , Graphic , Web , Design","38","HELLO","5","Lets make ideas Visible.","24","My Work:","8","","","","","","","","","","16464","260","9.508","1","","9","1","0","11.110","16","8","0","4","4","0","","","","","27c472559254200aca033f8e6e06af6b","0.433","","","","","1.1","https://marcin-zygan.com/","2021-11-17 19:20:37"
"","","img/","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","marcin.jpg","","1","https://marcin-zygan.com/img/marcin.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","49296","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.253","","","","","1.1","https://marcin-zygan.com/img/marcin.jpg","2021-11-17 19:20:38"
"","","","portfolio1.jpg","","1","https://marcin-zygan.com/img/portfolio1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","33962","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.252","","","","","1.1","https://marcin-zygan.com/img/portfolio1.jpg","2021-11-17 19:20:38"
"","","","webdesign.jpg","","1","https://marcin-zygan.com/img/webdesign.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","31225","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.271","","","","","1.1","https://marcin-zygan.com/img/webdesign.jpg","2021-11-17 19:20:38"
"","","","graphic.jpg","","1","https://marcin-zygan.com/img/graphic.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","62710","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.239","","","","","1.1","https://marcin-zygan.com/img/graphic.jpg","2021-11-17 19:20:38"
"","","","simple1.jpg","","1","https://marcin-zygan.com/img/simple1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","27941","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.237","","","","","1.1","https://marcin-zygan.com/img/simple1.jpg","2021-11-17 19:20:38"
"","","","logodesign.jpg","","1","https://marcin-zygan.com/img/logodesign.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","31364","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.265","","","","","1.1","https://marcin-zygan.com/img/logodesign.jpg","2021-11-17 19:20:38"
"","","","portfolio2.jpg","","1","https://marcin-zygan.com/img/portfolio2.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","36955","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.235","","","","","1.1","https://marcin-zygan.com/img/portfolio2.jpg","2021-11-17 19:20:38"
"","","","posterdesign.jpg","","1","https://marcin-zygan.com/img/posterdesign.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","46507","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.240","","","","","1.1","https://marcin-zygan.com/img/posterdesign.jpg","2021-11-17 19:20:38"
"","","","portfolio3.jpg","","1","https://marcin-zygan.com/img/portfolio3.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","56979","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.269","","","","","1.1","https://marcin-zygan.com/img/portfolio3.jpg","2021-11-17 19:20:38"
"","","","simple2.jpg","","1","https://marcin-zygan.com/img/simple2.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","29873","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.272","","","","","1.1","https://marcin-zygan.com/img/simple2.jpg","2021-11-17 19:20:39"
"","","","portfolio4.jpg","","1","https://marcin-zygan.com/img/portfolio4.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","91861","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.280","","","","","1.1","https://marcin-zygan.com/img/portfolio4.jpg","2021-11-17 19:20:39"
"","","","mole/","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","helmet.jpg","1","https://marcin-zygan.com/img/mole/helmet.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","45074","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.430","","","","","1.1","https://marcin-zygan.com/img/mole/helmet.jpg","2021-11-17 19:20:39"
"","","","","molecolors.jpg","1","https://marcin-zygan.com/img/mole/molecolors.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","35341","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.386","","","","","1.1","https://marcin-zygan.com/img/mole/molecolors.jpg","2021-11-17 19:20:40"
"","","","","moleidea.jpg","1","https://marcin-zygan.com/img/mole/moleidea.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","39186","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.413","","","","","1.1","https://marcin-zygan.com/img/mole/moleidea.jpg","2021-11-17 19:20:41"
"","","","","molenotebook.jpg","1","https://marcin-zygan.com/img/mole/molenotebook.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","93762","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.472","","","","","1.1","https://marcin-zygan.com/img/mole/molenotebook.jpg","2021-11-17 19:20:41"
"","","","","molecard.jpg","1","https://marcin-zygan.com/img/mole/molecard.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","42164","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.342","","","","","1.1","https://marcin-zygan.com/img/mole/molecard.jpg","2021-11-17 19:20:42"
"","","","","krecikblack.jpg","1","https://marcin-zygan.com/img/mole/krecikblack.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","22810","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.368","","","","","1.1","https://marcin-zygan.com/img/mole/krecikblack.jpg","2021-11-17 19:20:42"
"","","","","color1.jpg","1","https://marcin-zygan.com/img/mole/color1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","43077","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.490","","","","","1.1","https://marcin-zygan.com/img/mole/color1.jpg","2021-11-17 19:20:42"
"","","","","fonts.jpg","1","https://marcin-zygan.com/img/mole/fonts.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","60325","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.336","","","","","1.1","https://marcin-zygan.com/img/mole/fonts.jpg","2021-11-17 19:20:42"
"","","","","moleprocess.jpg","1","https://marcin-zygan.com/img/mole/moleprocess.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","55670","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.401","","","","","1.1","https://marcin-zygan.com/img/mole/moleprocess.jpg","2021-11-17 19:20:42"
"","","","","intro.jpg","1","https://marcin-zygan.com/img/mole/intro.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","125285","0","0.000","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.367","","","","","1.1","https://marcin-zygan.com/img/mole/intro.jpg","2021-11-17 19:20:43"
